2017-02-15 20:19:39 startup archives install
2017-02-15 20:19:39 install base-passwd:amd64 <none> 3.5.39
2017-02-15 20:19:39 status half-installed base-passwd:amd64 3.5.39
2017-02-15 20:19:39 status unpacked base-passwd:amd64 3.5.39
2017-02-15 20:19:39 status unpacked base-passwd:amd64 3.5.39
2017-02-15 20:19:39 configure base-passwd:amd64 3.5.39 3.5.39
2017-02-15 20:19:39 status unpacked base-passwd:amd64 3.5.39
2017-02-15 20:19:39 status half-configured base-passwd:amd64 3.5.39
2017-02-15 20:19:39 status installed base-passwd:amd64 3.5.39
2017-02-15 20:19:39 startup archives install
2017-02-15 20:19:39 install base-files:amd64 <none> 9.4ubuntu4
2017-02-15 20:19:39 status half-installed base-files:amd64 9.4ubuntu4
2017-02-15 20:19:40 status unpacked base-files:amd64 9.4ubuntu4
2017-02-15 20:19:40 status unpacked base-files:amd64 9.4ubuntu4
2017-02-15 20:19:40 configure base-files:amd64 9.4ubuntu4 9.4ubuntu4
2017-02-15 20:19:40 status unpacked base-files:amd64 9.4ubuntu4
2017-02-15 20:19:40 status unpacked base-files:amd64 9.4ubuntu4
2017-02-15 20:19:40 status unpacked base-files:amd64 9.4ubuntu4
2017-02-15 20:19:40 status unpacked base-files:amd64 9.4ubuntu4
2017-02-15 20:19:40 status unpacked base-files:amd64 9.4ubuntu4
2017-02-15 20:19:40 status unpacked base-files:amd64 9.4ubuntu4
2017-02-15 20:19:40 status unpacked base-files:amd64 9.4ubuntu4
2017-02-15 20:19:40 status unpacked base-files:amd64 9.4ubuntu4
2017-02-15 20:19:40 status unpacked base-files:amd64 9.4ubuntu4
2017-02-15 20:19:40 status unpacked base-files:amd64 9.4ubuntu4
2017-02-15 20:19:40 status unpacked base-files:amd64 9.4ubuntu4
2017-02-15 20:19:40 status half-configured base-files:amd64 9.4ubuntu4
2017-02-15 20:19:40 status installed base-files:amd64 9.4ubuntu4
2017-02-15 20:19:40 startup archives install
2017-02-15 20:19:40 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2017-02-15 20:19:40 status half-configured dpkg 1.18.4ubuntu1
2017-02-15 20:19:40 status unpacked dpkg 1.18.4ubuntu1
2017-02-15 20:19:40 status half-installed dpkg 1.18.4ubuntu1
2017-02-15 20:19:40 status half-installed dpkg 1.18.4ubuntu1
2017-02-15 20:19:40 status unpacked dpkg:amd64 1.18.4ubuntu1
2017-02-15 20:19:40 status unpacked dpkg:amd64 1.18.4ubuntu1
2017-02-15 20:19:40 configure dpkg:amd64 1.18.4ubuntu1 1.18.4ubuntu1
2017-02-15 20:19:40 status unpacked dpkg:amd64 1.18.4ubuntu1
2017-02-15 20:19:40 status unpacked dpkg:amd64 1.18.4ubuntu1
2017-02-15 20:19:40 status unpacked dpkg:amd64 1.18.4ubuntu1
2017-02-15 20:19:40 status unpacked dpkg:amd64 1.18.4ubuntu1
2017-02-15 20:19:40 status unpacked dpkg:amd64 1.18.4ubuntu1
2017-02-15 20:19:40 status half-configured dpkg:amd64 1.18.4ubuntu1
2017-02-15 20:19:40 status installed dpkg:amd64 1.18.4ubuntu1
2017-02-15 20:19:40 startup archives install
2017-02-15 20:19:40 install libc6:amd64 <none> 2.23-0ubuntu3
2017-02-15 20:19:40 status half-installed libc6:amd64 2.23-0ubuntu3
2017-02-15 20:19:41 status unpacked libc6:amd64 2.23-0ubuntu3
2017-02-15 20:19:41 status unpacked libc6:amd64 2.23-0ubuntu3
2017-02-15 20:19:41 configure libc6:amd64 2.23-0ubuntu3 2.23-0ubuntu3
2017-02-15 20:19:41 status unpacked libc6:amd64 2.23-0ubuntu3
2017-02-15 20:19:41 status unpacked libc6:amd64 2.23-0ubuntu3
2017-02-15 20:19:41 status half-configured libc6:amd64 2.23-0ubuntu3
2017-02-15 20:19:41 status installed libc6:amd64 2.23-0ubuntu3
2017-02-15 20:19:41 startup archives install
2017-02-15 20:19:41 install perl-base:amd64 <none> 5.22.1-9
2017-02-15 20:19:41 status half-installed perl-base:amd64 5.22.1-9
2017-02-15 20:19:42 status unpacked perl-base:amd64 5.22.1-9
2017-02-15 20:19:42 status unpacked perl-base:amd64 5.22.1-9
2017-02-15 20:19:42 configure perl-base:amd64 5.22.1-9 5.22.1-9
2017-02-15 20:19:42 status unpacked perl-base:amd64 5.22.1-9
2017-02-15 20:19:42 status half-configured perl-base:amd64 5.22.1-9
2017-02-15 20:19:42 status installed perl-base:amd64 5.22.1-9
2017-02-15 20:19:42 startup archives install
2017-02-15 20:19:42 install mawk:amd64 <none> 1.3.3-17ubuntu2
2017-02-15 20:19:42 status half-installed mawk:amd64 1.3.3-17ubuntu2
2017-02-15 20:19:42 status unpacked mawk:amd64 1.3.3-17ubuntu2
2017-02-15 20:19:42 status unpacked mawk:amd64 1.3.3-17ubuntu2
